OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent, courierService ,isRTO
2649491,984407,190,MPD                 ,Chittagong City,mobile-site,normal,65,7/31/2019 22:58,7/31/2019 17:19,Yes,Yes,E-Desh                                                                                              ,No
2649480,936983,172,MPS                 ,Dhaka (Outside City),android,normal,25,7/31/2019 22:57,7/31/2019 17:01,Yes,Yes,Paperfly                                                                                            ,No
2649453,866999,356,MPD                 ,Chittagong City,android,normal,60,7/31/2019 22:55,7/31/2019 17:14,No,No,E-Desh                                                                                              ,No
2649307,414994,420,MPS                 ,Dhaka,android,normal,25,7/31/2019 22:37,7/31/2019 16:45,Yes,Yes,E-Desh                                                                                              ,No
2649276,803084,615,MPD                 ,Gazipur,android,normal,60,7/31/2019 22:32,7/31/2019 16:38,No,Yes,Paperfly                                                                                            ,No
2649270,565401,399,MPD                 ,khulna (Outside City),android,normal,60,7/31/2019 22:30,7/31/2019 16:44,No,Yes,Paperfly                                                                                            ,No
2649243,803084,363,MPD                 ,Gazipur,android,normal,60,7/31/2019 22:23,7/31/2019 16:38,No,Yes,Paperfly                                                                                            ,No
2649136,599835,190,MPD                 ,Dhaka,android,normal,30,7/31/2019 22:04,7/31/2019 16:07,No,Yes,E-Desh                                                                                              ,No
2649117,599835,173,MPD                 ,Dhaka,android,normal,30,7/31/2019 21:59,7/31/2019 16:01,No,Yes,E-Desh                                                                                              ,No
2649111,485116,340,MPD                 ,Dhaka,android,normal,25,7/31/2019 21:58,7/31/2019 16:01,Yes,Yes,E-Desh                                                                                              ,No
2649110,485116,332,MPD                 ,Dhaka,android,normal,30,7/31/2019 21:58,7/31/2019 16:01,Yes,Yes,E-Desh                                                                                              ,No
2649092,398555,2750,MPD                 ,Dhaka,android,normal,0,7/31/2019 21:55,7/31/2019 15:57,Yes,No,E-Desh                                                                                              ,No
2649018,777897,399,MPD                 ,Dhaka,android,normal,30,7/31/2019 21:48,7/31/2019 15:57,No,Yes,E-Desh                                                                                              ,No
2648993,396033,173,MPD                 ,Dhaka,android,normal,30,7/31/2019 21:43,7/31/2019 15:59,No,Yes,E-Desh                                                                                              ,No
2648956,632509,356,MPD                 ,Gazipur,android,normal,60,7/31/2019 21:30,7/31/2019 16:08,No,No,Paperfly                                                                                            ,No
2648936,543566,190,MPD                 ,Dhaka,android,normal,30,7/31/2019 21:27,7/31/2019 15:36,No,No,E-Desh                                                                                              ,No
2648904,984313,338,MPD                 ,Chittagong City,android,normal,60,7/31/2019 21:22,7/31/2019 16:33,No,No,E-Desh                                                                                              ,No
2648845,474791,360,MPS                 ,Sylhet (Outside City),android,normal,25,7/31/2019 21:09,7/31/2019 15:13,Yes,Yes,Paperfly                                                                                            ,No
2648839,220380,62,MPS                 ,Gazipur,android,normal,0,7/31/2019 21:08,7/31/2019 15:13,Yes,No,E-Desh                                                                                              ,No
2648838,220380,45,MPS                 ,Gazipur,android,normal,0,7/31/2019 21:08,7/31/2019 15:13,Yes,No,E-Desh                                                                                              ,No
2648837,220380,220,MPS                 ,Gazipur,android,normal,0,7/31/2019 21:08,7/31/2019 15:13,Yes,No,E-Desh                                                                                              ,No
2648836,220380,190,MPS                 ,Gazipur,android,normal,0,7/31/2019 21:08,7/31/2019 15:13,Yes,No,E-Desh                                                                                              ,No
2648835,220380,332,MPS                 ,Gazipur,android,normal,0,7/31/2019 21:08,7/31/2019 15:12,Yes,Yes,E-Desh                                                                                              ,No
2648702,508545,350,MPD                 ,Dhaka,desktop,normal,35,7/31/2019 20:59,7/31/2019 15:27,Yes,No,E-Desh                                                                                              ,No
2648630,982758,990,MPD                 ,Dhaka,android,normal,30,7/31/2019 20:30,7/31/2019 15:03,No,No,E-Courier LTD                                                                                       ,No
2648617,912888,130,MPD                 ,Dhaka,android,normal,30,7/31/2019 20:25,7/31/2019 14:48,No,Yes,E-Desh                                                                                              ,No
2648584,978907,239,MPD                 ,Comilla,android,normal,60,7/31/2019 20:14,7/31/2019 14:19,No,Yes,E-Courier LTD                                                                                       ,Yes
2648571,983265,173,MPD                 ,Chittagong City,android,normal,60,7/31/2019 20:12,7/31/2019 14:28,No,Yes,E-Desh                                                                                              ,No
2648540,984268,187,MPD                 ,Dhaka,android,normal,30,7/31/2019 20:05,7/31/2019 14:43,No,Yes,E-Desh                                                                                              ,No
2648500,982286,267,MPD                 ,Dhaka,android,normal,30,7/31/2019 19:57,7/31/2019 14:07,No,Yes,E-Desh                                                                                              ,No
2648431,848882,150,MPD                 ,Dhaka,android,normal,30,7/31/2019 19:41,7/31/2019 13:47,No,Yes,E-Desh                                                                                              ,No
2648400,984254,429,MPD                 ,Dhaka,android,normal,30,7/31/2019 19:33,7/31/2019 13:48,No,Yes,E-Desh                                                                                              ,No
2648398,984107,599,MPD                 ,Gazipur,android,normal,0,7/31/2019 19:32,7/31/2019 13:54,No,No,E-Desh                                                                                              ,Yes
2648387,112348,184,MPS                 ,Dhaka,android,normal,0,7/31/2019 19:30,7/31/2019 13:34,Yes,No,E-Desh                                                                                              ,No
2648386,112348,241,MPS                 ,Dhaka,android,normal,0,7/31/2019 19:30,7/31/2019 13:34,Yes,No,E-Desh                                                                                              ,No
2648385,112348,130,MPS                 ,Dhaka,android,normal,0,7/31/2019 19:30,7/31/2019 13:34,Yes,Yes,E-Desh                                                                                              ,No
2648384,112348,300,MPS                 ,Dhaka,android,normal,0,7/31/2019 19:30,7/31/2019 13:34,Yes,No,E-Desh                                                                                              ,No
2648383,112348,149,MPS                 ,Dhaka,android,normal,0,7/31/2019 19:30,7/31/2019 13:34,Yes,No,E-Desh                                                                                              ,No
2648341,978331,388,MPD                 ,Dhaka,android,normal,30,7/31/2019 19:18,7/31/2019 13:40,No,No,E-Courier LTD                                                                                       ,No
